,GSS_NM,lat,lon
7174,Wakefield,53.6829541,-1.4967286
7175,Walsall,52.5847949,-1.9822687
7176,Waltham Forest,51.1981586,1.0165175
7177,Wandsworth,51.4570271,-0.1932607
7178,Warrington,53.4018582,-2.5680223597163048
7179,Warwickshire,52.32130635,-1.5536905536661392
7180,West Berkshire,51.44631345,-1.2758819554702914
7181,West Sussex,51.0,-0.416667
7182,Westminster,51.5013562,-0.1249302
7183,Wigan,53.5457188,-2.6264624
7184,Wiltshire,51.324162,-1.9032486699002247
7185,Windsor and Maidenhead,51.4803412,-0.6769505204283354
7186,Wirral,53.3409714,-3.0500916
7187,Wokingham,51.4570846,-0.8865370303212372
7188,Wolverhampton,52.5847651,-2.127567
7189,Worcestershire,52.2109495,-2.156955513242221
7190,York,53.9590555,-1.0815361
7191,Ayrshire and Arran,55.577496499999995,-5.252426083465992
7192,Borders,51.0006785,0.4161393
7193,Dumfries and Galloway,55.083333,-3.833333
7194,Fife,56.3333331,-3.0000001
7195,Forth Valley,55.765585,-3.6882358
7196,Grampian,51.54259505,0.6998812362140638
7197,Greater Glasgow and Clyde,,
7198,Highland,57.5066357,-5.0038367
7199,Lanarkshire,55.5752966,-3.833333
7200,Lothian,53.3895099,-2.9626906
7201,Orkney,58.94182309999999,-3.129694439563327
7202,Shetland,60.333333,-1.333333
7203,Tayside,54.5500034,-1.5169136
7204,Western Isles,57.666667,-7.166667
7205,Golden Jubilee National Hospital,55.9062143,-4.426260321438954
7206,Aneurin Bevan,51.50783335,-3.1999083693724333
7207,Betsi Cadwaladr,,
7208,Cardiff and Vale,51.4816546,-3.1791934
7209,Cwm Taf,51.6876469,-3.3995766
7210,Hywel Dda,51.8183121,-4.6127324
7211,Powys,52.326713049999995,-3.356307050877395
7212,Swansea Bay,51.59097175,-3.9878732236466607
7213,Unknown location,,
7214,Resident outside Wales,,
